armeabi-v7a CtsAppExitTestCases		
| [[VtsHalWifiV1_5TargetTest]]                     | armeabi-v7a | 7           |		
| [[binderLibTest]]                                | armeabi-v7a | 37          |		
| [[binderStabilityTest]]                          | armeabi-v7a | 9           |		
| [[fiemap_writer_test]]                           | armeabi-v7a | 21          |		
| [[fmq_test]]                                     | armeabi-v7a | 1           |		
| [[hidl_test_java]]                               | armeabi-v7a | 4           |		
| [[libbinder_ndk_unit_test]]                      | armeabi-v7a | 27          |		
| [[netd_integration_test]]                        | armeabi-v7a | 92          |		
| [[vts_core_liblp_test]]                          | armeabi-v7a | 68          |		
| [[vts_gsi_boot_test]]                            | armeabi-v7a | 3           |		
| [[vts_kernel_encryption_test]]                   | armeabi-v7a | 12          |		
| [[vts_kernel_net_tests]]                         | armeabi-v7a | 1           |		
| [[vts_kernel_proc_file_api_test]]                | armeabi-v7a | 70          |		
| [[vts_libdm_test]]                               | armeabi-v7a | 20          |		
| [[vts_libsnapshot_test]]                         | armeabi-v7a | 113         |		
| [[vts_linux_kselftest_arm_32]]                   | armeabi-v7a | 18          |		
| [[vts_ltp_test_arm]]                             | armeabi-v7a | 585         |		
| [[vts_security_avb_test]]                        | armeabi-v7a | 5           |		
| [[vts_treble_vintf_framework_test]]              | armeabi-v7a | 13          |		
| [[vts_treble_vintf_vendor_test]]                 | armeabi-v7a | 11          |		
| [[vts_virtual_ab_test]]                          | armeabi-v7a | 3           |		
