| Module                                           | ABI         | Total Tests |
| [[VtsHalRadioV1_6TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalRebootEscrowTargetTest]]                 | armeabi-v7a | 0           |
| [[VtsHalRemotelyProvisionedComponentTargetTest]] | armeabi-v7a | 26          |
| [[VtsHalRenderscriptV1_0TargetTest]]             | armeabi-v7a | 28          |
| [[VtsHalSapV1_0TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalSecureElementTargetTest]]                | armeabi-v7a | 0           |
| [[VtsHalSecureElementV1_0TargetTest]]            | armeabi-v7a | 0           |
| [[VtsHalSecureElementV1_1TargetTest]]            | armeabi-v7a | 0           |
| [[VtsHalSecureElementV1_2TargetTest]]            | armeabi-v7a | 0           |
| [[VtsHalSensorManagerTargetTest]]                | armeabi-v7a | 4           |
| [[VtsHalSensorManagerV1_0TargetTest]]            | armeabi-v7a | 4           |
| [[VtsHalSensorsV1_0TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalSensorsV2_0TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalSensorsV2_1TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalSoundDoseFactoryTargetTest]]             | armeabi-v7a | 0           |
| [[VtsHalSoundtriggerV2_0TargetTest]]             | armeabi-v7a | 0           |
| [[VtsHalSoundtriggerV2_1TargetTest]]             | armeabi-v7a | 0           |
| [[VtsHalSoundtriggerV2_2TargetTest]]             | armeabi-v7a | 0           |
| [[VtsHalSoundtriggerV2_3TargetTest]]             | armeabi-v7a | 0           |
| [[VtsHalStatsV1_0TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalSurroundViewV1_0TargetTest]]             | armeabi-v7a | 0           |
| [[VtsHalTetheroffloadConfigV1_0TargetTest]]      | armeabi-v7a | 0           |
| [[VtsHalTetheroffloadControlV1_0TargetTest]]     | armeabi-v7a | 0           |
| [[VtsHalTetheroffloadControlV1_1TargetTest]]     | armeabi-v7a | 0           |
| [[VtsHalTetheroffloadTargetTest]]                | armeabi-v7a | 0           |
